name,Kind,Alcohol,Aroma,Taste,Finish
브루갈 에스페셜 엑스트라 드라이 럼,럼,40.0,"바닐라, 미묘한, 시트러스, 코코넛","미묘한, 부드러운, 깔끔한",깔끔한
커맨더 화이트 럼,럼,37.5,"사탕수수, 달콤한","부드러운, 가벼운",깔끔한
커맨더 블랙 럼,럼,37.5,"사탕수수, 달콤한","캐러멜, 거친, 묵직한","긴 여운, 강렬한"
레헨다리오 론 아네호,럼,40.0,"오렌지, 살구, 토피, 오렌지 꽃, 꿀, 스파이스","타바코, 오크, 스모키, 열대 과일","오크, 오렌지 껍질, 복합적인"
레헨다리오 론 도라도,럼,38.0,"사탕수수, 미네랄리티, 과일","복합적인, 상쾌한","부드러운, 균형 잡힌"
사마롤리 바베이도스 랩소디 2022,럼,45.0,"아몬드, 케이크, 비스킷","마지팬, 시트러스, 감귤","레몬, 미네랄리티, 바다 내음"
애플톤 스페셜,럼,40.0,"바닐라, 정향, 프루티","풍부한, 부드러운, 스파이스","섬세한, 풍부한, 과일"
사마롤리 1995 스프링뱅크 27년 마그니피코 by '위스키 라이브러리',럼,44.0,"과일, 향신료, 꽃","과일, 섬세한, 꽃, 풍부한","부드러운, 향신료"
캡틴 모건 럼,럼,35.0,"바닐라, 캐러멜, 후추","달콤한, 바닐라, 시나몬","부드러운, 시나몬, 오렌지"
바카디 빅 애플,골드 럼,40.0,"바닐라, 아몬드, 오크","견과류, 오크","부드러운, 풍부한"
카차샤 51,럼,40.0,"열대 과일, 당밀, 풀 내음","상쾌한, 거친, 스파이시","깔끔한, 달콤한, 과일"
바카디 오로 골드 럼,골드 럼,40.0,"바닐라, 아몬드, 캐러멜","견과류, 오크","풍부한, 견과류"
킹스톤 62 골드 럼,럼,40.0,"스파이스, 육두구, 바닐라","시트러스, 당밀","이국적인, 긴 여운, 따뜻한"
바카디 블랙 럼,럼,40.0,"토스트, 견과류, 바닐라","열대 과일, 버터, 캐러멜","스모키, 당밀"
애플톤 21년,럼,43.0,"정향, 생강, 시나몬, 육두구","건포도, 파인애플, 바나나","풍부한, 과일, 육두구, 커피"
바톤 럼,럼,40.0,"달콤한, 바닐라","시트러스, 감귤","깔끔한, 달콤한"
하바나 클럽 3년,럼,40.0,"과일, 사탕수수, 신선한","가벼운, 달콤한, 바나나, 부드러운","과일, 깔끔한, 오크"
밀담,우리술(럼),24.0,"담백한, 달콤한, 사탕수수","깔끔한, 부드러운",깔끔한
예천주 럼 phat 네이비,우리술(럼),36.5,"은은한, 달콤한, 사탕수수","달콤한, 알코올, 살구",부드러운
예천주 럼 phat 옐로우,우리술(럼),22.0,"과일, 달콤한, 살구","과일, 달콤한, 살구 잼","달콤한, 깔끔한"
예천주 럼 phat 그린,우리술(럼),16.8,"살구, 과일, 달콤한","살구 잼, 과일, 달콤한","깔끔한, 달콤한"
예천주 럼 phat 블랙,우리술(럼),42.0,"살구, 과일, 달콤한","살구 잼, 과일, 달콤한","달콤한, 강렬한"
플로르 데 카냐 12년,럼,40.0,"꿀, 크랜베리, 브라질 너트","바닐라, 구운 사과, 캐러멜","긴 여운, 달콤한, 우드"
바카디 카르타 네그라,다크 럼,40.0,"당밀, 구운 오크, 견과류","다크 초콜릿, 바닐라, 구운 바나나","커피, 묵직한, 후추"
론 자카파 23,럼,40.0,"캐러멜, 바닐라, 카카오, 말린 파인애플","진저, 시나몬, 꿀","말린 과일, 오크, 스파이시"
디플로마티코 리제르바 익스클루시바 3L,럼,40.0,"메이플 시럽, 오렌지, 토피, 감초","코코아, 바닐라, 스파이시","커피, 오크, 긴 여운"
플로르 데 카냐 18년,럼,40.0,"견과류, 당밀, 캐러멜","바닐라, 갈색 설탕, 묵직한","긴 여운, 부드러운, 스파이시"
플로르 데 카냐 25년,럼,40.0,"다크 초콜릿, 우드, 바닐라","아몬드, 구운 설탕, 달콤한","긴 여운, 견과류, 부드러운"
핑크 피존 오리지널 럼,럼,40.0,"바닐라, 플로럴, 오렌지 껍질","바닐라, 커피, 꿀, 신선한","시트러스, 스파이시, 달콤한"
엘 도라도 럼 15년,럼,43.0,"커피, 아몬드, 후추, 바닐라","열대 과일, 설탕에 절인 오렌지","부드러운, 오크, 스파이시"
하바나 클럽 셀렉시온 드 마에스트로스,럼,45.0,"구운 피칸, 우드 스파이스","코코아, 커피, 타바코","스모키, 오크, 설탕에 절인 과일"
올드 닉 화이트 럼,럼,37.5,"바나나, 바닐라, 시나몬","시트러스, 열대 과일, 나무","산뜻한, 부드러운, 긴 여운"
론디아즈 151 럼,럼,75.5,"달콤한, 캐러멜, 갈색 설탕","달콤한, 바닐라, 사탕수수","강렬한, 긴 여운, 스파이시"
디플로마티코 싱글 빈티지 2007,다크 럼,43.0,"초콜릿, 커피, 풍부한, 담뱃잎, 과일, 바닐라","과일, 다크 초콜릿, 바닐라, 캐러멜","스파이시, 긴 여운"
커트 스파이스 럼,럼,37.5,"오렌지, 팬케이크, 바닐라, 고수","레몬, 후추, 짭짤한, 크렘 브륄레","후추, 캐러멜, 육두구"
론디아즈 151 럼,럼,75.5,"달콤한, 오렌지, 체리","강렬한, 럼, 바닐라","강렬한, 스파이시, 긴 여운"
론 자카파 23,럼,40.0,"캐러멜, 말린 파인애플, 바나나, 토피넛, 셰리, 구운 헤이즐넛, 버터스카치, 카카오, 바닐라","육두구, 타바코, 복합적인, 스파이시, 시나몬, 진저, 바닐라, 커피, 가죽, 오크, 짭짤한, 살구, 말린 과일","말린 과일, 오크, 스파이시, 버터스카치, 꿀"
론 자카파 XO,럼,40.0,"구운 오크, 과일, 오렌지 껍질, 견과류, 캐러멜","다크 체리, 시나몬, 바닐라, 정향, 대추, 초콜릿, 향신료, 과일, 달콤한","진저, 라즈베리, 말린 망고"
올드 몽크 럼,럼,42.8,"복숭아, 캐러멜, 초콜릿","커피, 바닐라, 스파이시","그을린 오크, 바닐라, 부드러운"
디플로마티코 싱글 빈티지 2007,다크 럼,43.0,"커피, 초콜릿, 담뱃잎, 풍부한","다크 초콜릿, 과일, 바닐라, 캐러멜","스파이시, 긴 여운"
론 코리나 151,럼,75.5,"바닐라, 코코넛, 스파이스","달콤한, 오크, 말린 무화과",강렬한
바카디 카르타블랑카,럼,40.0,"바닐라, 아몬드",우드,부드러운
디플로마티코 싱글 빈티지 2007,다크 럼,43.0,"커피, 과일, 초콜릿, 담뱃잎, 바닐라","다크 초콜릿, 과일, 캐러멜, 바닐라","긴 여운, 풍부한, 스파이시"
디플로마티코 리제르바 익스클루시바,다크 럼,40.0,"감초, 메이플 시럽, 오렌지, 토피","바닐라, 스파이시, 코코아, 오크","커피, 오크"
디플로마티코 만투아노,다크 럼,40.0,"건자두, 오크, 스파이시","말린 과일, 우드, 바닐라, 시나몬, 흑설탕",스파이시
올드닉 골드럼,럼,37.5,"당밀, 바나나, 시나몬","부드러운, 바닐라, 달콤한","말린 오렌지, 오크, 열대 과일"
타카마카 코코 코코넛 럼,럼,25.0,"코코넛, 사탕수수, 버번","달콤한, 바닐라, 견과류","상쾌한, 오크, 긴 여운"
나티보 오버프루프 108 럼,럼,54.0,"초콜릿, 토피, 바닐라, 검붉은 과일, 커피","말린 무화과, 당밀, 바닐라, 계피","진한, 달콤한, 담뱃잎, 오크"
나티보 럼 15년,럼,40.0,"말린 과일, 토피, 캐러멜, 바닐라","벌꿀, 오크, 코코아, 오렌지 껍질","향신료, 부드러운, 달콤한, 향긋한"
나티보 럼 20년,럼,40.0,"구운 견과류, 캐러멜, 태운 나무껍질","풍부한, 오크, 버번, 다크 체리","향신료, 바닐라, 구운 아몬드"
베리타스 럼,럼,47.0,"사탕, 꽃, 아몬드, 바닐라","바나나, 감귤, 캐러멜, 패션프루트, 파인애플","크렘 브륄레, 아몬드, 화이트 초콜릿"
